wheel-base,length,width,height,price
88.6,168.8,64.1,48.8,13495
88.6,168.8,64.1,48.8,16500
94.5,171.2,65.5,52.4,16500
99.8,176.6,66.2,54.3,13950
99.4,176.6,66.4,54.3,17450
99.8,177.3,66.3,53.1,15250
105.8,192.7,71.4,55.7,17710
105.8,192.7,71.4,55.7,18920
105.8,192.7,71.4,55.9,23875
99.5,178.2,67.9,52,
101.2,176.8,64.8,54.3,16430
101.2,176.8,64.8,54.3,16925
101.2,176.8,64.8,54.3,20970
101.2,176.8,64.8,54.3,21105
103.5,189,66.9,55.7,24565
103.5,189,66.9,55.7,30760
103.5,193.8,67.9,53.7,41315
110,197,70.9,56.3,36880
88.4,141.1,60.3,53.2,5151
94.5,155.9,63.6,52,6295
94.5,158.8,63.6,52,6575
93.7,157.3,63.8,50.8,5572
93.7,157.3,63.8,50.8,6377
93.7,157.3,63.8,50.8,7957
93.7,157.3,63.8,50.6,6229
93.7,157.3,63.8,50.6,6692
93.7,157.3,63.8,50.6,7609
93.7,157.3,63.8,50.6,8558
103.3,174.6,64.6,59.8,8921
95.9,173.2,66.3,50.2,12964
86.6,144.6,63.9,50.8,6479
86.6,144.6,63.9,50.8,6855
93.7,150,64,52.6,5399
93.7,150,64,52.6,6529
93.7,150,64,52.6,7129
96.5,163.4,64,54.5,7295
96.5,157.1,63.9,58.3,7295
96.5,167.5,65.2,53.3,7895
96.5,167.5,65.2,53.3,9095
96.5,175.4,65.2,54.1,8845
96.5,175.4,62.5,54.1,10295
96.5,175.4,65.2,54.1,12945
96.5,169.1,66,51,10345
94.3,170.7,61.8,53.5,6785
94.5,155.9,63.6,52,
94.5,155.9,63.6,52,
96,172.6,65.2,51.4,11048
113,199.6,69.6,52.8,32250
113,199.6,69.6,52.8,35550
102,191.7,70.6,47.8,36000
93.1,159.1,64.2,54.1,5195
93.1,159.1,64.2,54.1,6095
93.1,159.1,64.2,54.1,6795
93.1,166.8,64.2,54.1,6695
93.1,166.8,64.2,54.1,7395
95.3,169,65.7,49.6,10945
95.3,169,65.7,49.6,11845
95.3,169,65.7,49.6,13645
95.3,169,65.7,49.6,15645
98.8,177.8,66.5,53.7,8845
98.8,177.8,66.5,55.5,8495
98.8,177.8,66.5,53.7,10595
98.8,177.8,66.5,55.5,10245
98.8,177.8,66.5,55.5,10795
98.8,177.8,66.5,55.5,11245
104.9,175,66.1,54.4,18280
104.9,175,66.1,54.4,18344
110,190.9,70.3,56.5,25552
110,190.9,70.3,58.7,28248
106.7,187.5,70.3,54.9,28176
115.6,202.6,71.7,56.3,31600
115.6,202.6,71.7,56.5,34184
96.6,180.3,70.5,50.8,35056
120.9,208.1,71.7,56.7,40960
112,199.2,72,55.4,45400
102.7,178.4,68,54.8,16503
93.7,157.3,64.4,50.8,5389
93.7,157.3,64.4,50.8,6189
93.7,157.3,64.4,50.8,6669
93,157.3,63.8,50.8,7689
96.3,173,65.4,49.4,9959
96.3,173,65.4,49.4,8499
95.9,173.2,66.3,50.2,12629
95.9,173.2,66.3,50.2,14869
95.9,173.2,66.3,50.2,14489
96.3,172.4,65.4,51.6,6989
96.3,172.4,65.4,51.6,8189
96.3,172.4,65.4,51.6,9279
96.3,172.4,65.4,51.6,9279
94.5,165.3,63.8,54.5,5499
94.5,165.3,63.8,54.5,7099
94.5,165.3,63.8,54.5,6649
94.5,165.3,63.8,54.5,6849
94.5,170.2,63.8,53.5,7349
94.5,165.3,63.8,54.5,7299
94.5,165.6,63.8,53.3,7799
94.5,165.3,63.8,54.5,7499
94.5,170.2,63.8,53.5,7999
95.1,162.4,63.8,53.3,8249
97.2,173.4,65.2,54.7,8949
97.2,173.4,65.2,54.7,9549
100.4,181.7,66.5,55.1,13499
100.4,184.6,66.5,56.1,14399
100.4,184.6,66.5,55.1,13499
91.3,170.7,67.9,49.7,17199
91.3,170.7,67.9,49.7,19699
99.2,178.5,67.9,49.7,18399
107.9,186.7,68.4,56.7,11900
107.9,186.7,68.4,56.7,13200
114.2,198.9,68.4,58.7,12440
114.2,198.9,68.4,58.7,13860
107.9,186.7,68.4,56.7,15580
107.9,186.7,68.4,56.7,16900
114.2,198.9,68.4,56.7,16695
114.2,198.9,68.4,58.7,17075
107.9,186.7,68.4,56.7,16630
107.9,186.7,68.4,56.7,17950
108,186.7,68.3,56,18150
93.7,157.3,63.8,50.8,5572
93.7,157.3,63.8,50.8,7957
93.7,157.3,63.8,50.6,6229
93.7,167.3,63.8,50.8,6692
93.7,167.3,63.8,50.8,7609
103.3,174.6,64.6,59.8,8921
95.9,173.2,66.3,50.2,12764
94.5,168.9,68.3,50.2,22018
89.5,168.9,65,51.6,32528
89.5,168.9,65,51.6,34028
89.5,168.9,65,51.6,37028
98.4,175.7,72.3,50.5,
96.1,181.5,66.5,55.2,9295
96.1,176.8,66.6,50.5,9895
99.1,186.6,66.5,56.1,11850
99.1,186.6,66.5,56.1,12170
99.1,186.6,66.5,56.1,15040
99.1,186.6,66.5,56.1,15510
99.1,186.6,66.5,56.1,18150
99.1,186.6,66.5,56.1,18620
93.7,156.9,63.4,53.7,5118
93.7,157.9,63.6,53.7,7053
93.3,157.3,63.8,55.7,7603
97.2,172,65.4,52.5,7126
97.2,172,65.4,52.5,7775
97.2,172,65.4,52.5,9960
97,172,65.4,54.3,9233
97,172,65.4,54.3,11259
97,173.5,65.4,53,7463
97,173.5,65.4,53,10198
96.9,173.6,65.4,54.9,8013
96.9,173.6,65.4,54.9,11694
95.7,158.7,63.6,54.5,5348
95.7,158.7,63.6,54.5,6338
95.7,158.7,63.6,54.5,6488
95.7,169.7,63.6,59.1,6918
95.7,169.7,63.6,59.1,7898
95.7,169.7,63.6,59.1,8778
95.7,166.3,64.4,53,6938
95.7,166.3,64.4,52.8,7198
95.7,166.3,64.4,53,7898
95.7,166.3,64.4,52.8,7788
95.7,166.3,64.4,53,7738
95.7,166.3,64.4,52.8,8358
95.7,166.3,64.4,52.8,9258
94.5,168.7,64,52.6,8058
94.5,168.7,64,52.6,8238
94.5,168.7,64,52.6,9298
94.5,168.7,64,52.6,9538
98.4,176.2,65.6,52,8449
98.4,176.2,65.6,52,9639
98.4,176.2,65.6,52,9989
98.4,176.2,65.6,52,11199
98.4,176.2,65.6,52,11549
98.4,176.2,65.6,53,17669
102.4,175.6,66.5,54.9,8948
102.4,175.6,66.5,54.9,10698
102.4,175.6,66.5,53.9,9988
102.4,175.6,66.5,54.9,10898
102.4,175.6,66.5,53.9,11248
102.9,183.5,67.7,52,16558
102.9,183.5,67.7,52,15998
104.5,187.8,66.5,54.1,15690
104.5,187.8,66.5,54.1,15750
97.3,171.7,65.5,55.7,7775
97.3,171.7,65.5,55.7,7975
97.3,171.7,65.5,55.7,7995
97.3,171.7,65.5,55.7,8195
97.3,171.7,65.5,55.7,8495
97.3,171.7,65.5,55.7,9495
97.3,171.7,65.5,55.7,9995
94.5,159.3,64.2,55.6,11595
94.5,165.7,64,51.4,9980
100.4,180.2,66.9,55.1,13295
100.4,180.2,66.9,55.1,13845
100.4,183.1,66.9,55.1,12290
104.3,188.8,67.2,56.2,12940
104.3,188.8,67.2,57.5,13415
104.3,188.8,67.2,56.2,15985
104.3,188.8,67.2,57.5,16515
104.3,188.8,67.2,56.2,18420
104.3,188.8,67.2,57.5,18950
109.1,188.8,68.9,55.5,16845
109.1,188.8,68.8,55.5,19045
109.1,188.8,68.9,55.5,21485
109.1,188.8,68.9,55.5,22470
109.1,188.8,68.9,55.5,22625
